Meno	S1	S2	S3	S3_2011	S3_2012	S3_2013	S3a	S4	S4a	S4b	S4c	S4d	S5	S5a	S5b	S5c	S5d	S6	S7	S8	S8a	S8b	S9	S10	S11	S12	S13	S14	S15	S16a	S16b	S16c	S16d	S16e	S16f
JUDr. Anna Snopčoková	1	0	roky 2011 - 2013	Okresný súd Zvolen	Okresný súd Zvolen	Okresný súd Zvolen	2011 - Okresný súd Zvolen; 2012 - Okresný súd Zvolen; 2013 - Okresný súd Zvolen	bola prideľovaná najmä Občianskoprávna agenda.	417	55	105	0	rozhodoval najmä v Občianskoprávnej agende.	434	66	104	0	572	10,12237762	Rozhodnutie sudcu bolo v prípade odvolaní potvrené v 78,9 % prípadoch, pričom priemer v SR v rovnakej agende je 63 %.	57	45	Odvolanie voči rozhodnutiam sudcu bolo podávané približne v 9,4 % prípadoch, pričom priemer v SR je 8,8 %.	Z celkového počtu rozhodnutí bolo zmenených alebo zrušených 2 %, pričom priemer v SR je 3,3 %.	Podiel medzi nevybavenými vecami na konci roka 2013 a rozhodnutými vecami bol 0,86. Čím je číslo nižšie, tým je sudca schopnejší vybavovať prichádzajúce prípady. Priemer v SR bol 0,9.	Sudca mal na konci roka 2013 160 nevybavených vecí, pričom priemer v SR je 238.	Sudca mal na konci roka 2013 81 reštančných vecí, pričom priemer v SR je 126. To tvorí 40,3 % z nevybavených vecí. Priemer v SR v tomto ukazovateli je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 84,2 % prípadov. Priemer v SR bol 99,6 %.	Celkovo získal sudca podľa našej metodológie 24 bodov zo 45 možných. Medzi 739 hodnotenými sudcami okresných súdov sa umiestnil na 206. mieste. Za kvalitu rozhodovania získal 11 bodov z 15 a za efektivitu 13 z možných 25.	"Okresný súd Zvolen - 1. 4. 2011 - 28. 4. 2011 z dôvodu plnenia úloh podľa § 35 zákona č. 757/2004 Z. z.

29. 4. 2011 - 31. 12. 2011 z dôvodu výkonu funkcie predsedníčky súdu"	N/A	Okresný súd Zvolen - Výkon funkcie predsedníčky súdu.	N/A	Okresný súd Zvolen - Výkon funkcie predsedu súdu do 31.03.2013 a od 01.04.2013 do 31.08.2013 z dôvodu poverenia plnením úloh predsedu súdu.	N/A
JUDr. Anna Trnková	2	1	roky 2011 - 2013	Okresný súd Nitra	Okresný súd Nitra	Okresný súd Nitra	2011 - Okresný súd Nitra; 2012 - Okresný súd Nitra; 2013 - Okresný súd Nitra	bola prideľovaná najmä Trestná agenda.	0	0	0	432	rozhodoval najmä v Trestnej agende.	0	0	0	543	654	6,605504587	Rozhodnutie sudcu bolo v prípade odvolaní potvrené v 39 % prípadoch, pričom priemer v SR v rovnakej agende je 52,2 %.	41	16	Odvolanie voči rozhodnutiam sudcu bolo podávané približne v 7,6 % prípadoch, pričom priemer v SR je 8,5 %.	Z celkového počtu rozhodnutí bolo zmenených alebo zrušených 4,6 %, pričom priemer v SR je 4,1 %.	Podiel medzi nevybavenými vecami na konci roka 2013 a rozhodnutými vecami bol 0,74. Čím je číslo nižšie, tým je sudca schopnejší vybavovať prichádzajúce prípady. Priemer v SR bol 0,9.	Sudca mal na konci roka 2013 133 nevybavených vecí, pričom priemer v SR je 238.	Sudca mal na konci roka 2013 75 reštančných vecí, pričom priemer v SR je 126. To tvorí 55,1 % z nevybavených vecí. Priemer v SR v tomto ukazovateli je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 117,8 % prípadov. Priemer v SR bol 99,6 %.	Celkovo získal sudca podľa našej metodológie 20,25 bodov zo 45 možných. Medzi 739 hodnotenými sudcami okresných súdov sa umiestnil na 416. mieste. Za kvalitu rozhodovania získal 5,5 bodov z 15 a za efektivitu 14,75 z možných 25.	Okresný súd Nitra - Nebol dôvod na zníženie nápadu.	N/A	Okresný súd Nitra - Nebol dôvod na zníženie nápadu.	N/A	"Okresný súd Nitra - Nebol dôvod na zníženie nápadu.
"	N/A
JUDr. Antónia Salayová	1	0	roky 2011 - 2013	Okresný súd Dunajská Streda	Okresný súd Dunajská Streda	Okresný súd Dunajská Streda	2011 - Okresný súd Dunajská Streda; 2012 - Okresný súd Dunajská Streda; 2013 - Okresný súd Dunajská Streda	bola prideľovaná najmä Občianskoprávna agenda.	1053	0	405	0	rozhodoval najmä v Občianskoprávnej agende.	857	0	381	0	643	22,67496112	Rozhodnutie sudcu bolo v prípade odvolaní potvrené v 79,1 % prípadoch, pričom priemer v SR v rovnakej agende je 63 %.	91	72	Odvolanie voči rozhodnutiam sudcu bolo podávané približne v 7,4 % prípadoch, pričom priemer v SR je 8,8 %.	Z celkového počtu rozhodnutí bolo zmenených alebo zrušených 1,5 %, pričom priemer v SR je 3,3 %.	Podiel medzi nevybavenými vecami na konci roka 2013 a rozhodnutými vecami bol 0,31. Čím je číslo nižšie, tým je sudca schopnejší vybavovať prichádzajúce prípady. Priemer v SR bol 0,9.	Sudca mal na konci roka 2013 146 nevybavených vecí, pričom priemer v SR je 238.	Sudca mal na konci roka 2013 78 reštančných vecí, pričom priemer v SR je 126. To tvorí 34,5 % z nevybavených vecí. Priemer v SR v tomto ukazovateli je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 104,3 % prípadov. Priemer v SR bol 99,6 %.	Celkovo získal sudca podľa našej metodológie 28,5 bodov zo 45 možných. Medzi 739 hodnotenými sudcami okresných súdov sa umiestnil na 55. mieste. Za kvalitu rozhodovania získal 11,25 bodov z 15 a za efektivitu 17,25 z možných 25.	Okresný súd Dunajská Streda - Sudca vykonáva funkciu podpredsedu súdu, napriek tomu nápad do svojich oddelení nemá znížený. 	N/A	N/A	N/A	N/A	N/A
JUDr. Arpád Koreň	0	0	roky 2011 - 2013	Okresný súd Rožňava	Okresný súd Rožňava	Okresný súd Rožňava	2011 - Okresný súd Rožňava; 2012 - Okresný súd Rožňava; 2013 - Okresný súd Rožňava	bola prideľovaná najmä Trestná agenda.	0	0	0	642	rozhodoval najmä v Trestnej agende.	0	0	0	1357	652	9,846625767	Rozhodnutie sudcu bolo v prípade odvolaní potvrené v 77,4 % prípadoch, pričom priemer v SR v rovnakej agende je 52,2 %.	31	24	Odvolanie voči rozhodnutiam sudcu bolo podávané približne v 2,3 % prípadoch, pričom priemer v SR je 8,5 %.	Z celkového počtu rozhodnutí bolo zmenených alebo zrušených 0,5 %, pričom priemer v SR je 4,1 %.	Podiel medzi nevybavenými vecami na konci roka 2013 a rozhodnutými vecami bol 0,04. Čím je číslo nižšie, tým je sudca schopnejší vybavovať prichádzajúce prípady. Priemer v SR bol 0,9.	Sudca mal na konci roka 2013 23 nevybavených vecí, pričom priemer v SR je 238.	Sudca mal na konci roka 2013 4 reštančných vecí, pričom priemer v SR je 126. To tvorí 17,4 % z nevybavených vecí. Priemer v SR v tomto ukazovateli je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 246,4 % prípadov. Priemer v SR bol 99,6 %.	Celkovo získal sudca podľa našej metodológie 37,5 bodov zo 45 možných. Medzi 739 hodnotenými sudcami okresných súdov sa umiestnil na 2. mieste. Za kvalitu rozhodovania získal 14 bodov z 15 a za efektivitu 23,5 z možných 25.	N/A	N/A	N/A	N/A	N/A	N/A
JUDr. Arpád Pastorek	1	0	roky 2011 - 2013	Okresný súd Levice	Okresný súd Levice	Okresný súd Levice	2011 - Okresný súd Levice; 2012 - Okresný súd Levice; 2013 - Okresný súd Levice	bola prideľovaná najmä Občianskoprávna agenda.	1365	0	221	0	rozhodoval najmä v Občianskoprávnej agende.	1192	0	243	0	606	26,17161716	Rozhodnutie sudcu bolo v prípade odvolaní potvrené v 53,3 % prípadoch, pričom priemer v SR v rovnakej agende je 63 %.	60	32	Odvolanie voči rozhodnutiam sudcu bolo podávané približne v 4,2 % prípadoch, pričom priemer v SR je 8,8 %.	Z celkového počtu rozhodnutí bolo zmenených alebo zrušených 2 %, pričom priemer v SR je 3,3 %.	Podiel medzi nevybavenými vecami na konci roka 2013 a rozhodnutými vecami bol 1,38. Čím je číslo nižšie, tým je sudca schopnejší vybavovať prichádzajúce prípady. Priemer v SR bol 0,9.	Sudca mal na konci roka 2013 544 nevybavených vecí, pričom priemer v SR je 238.	Sudca mal na konci roka 2013 278 reštančných vecí, pričom priemer v SR je 126. To tvorí 49,8 % z nevybavených vecí. Priemer v SR v tomto ukazovateli je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 94,3 % prípadov. Priemer v SR bol 99,6 %.	Celkovo získal sudca podľa našej metodológie 13,25 bodov zo 45 možných. Medzi 739 hodnotenými sudcami okresných súdov sa umiestnil na 663. mieste. Za kvalitu rozhodovania získal 7 bodov z 15 a za efektivitu 6,25 z možných 25.	Okresný súd Levice - nemá znížený nápad 	N/A	Okresný súd Levice - Nebol dôvod na zníženie nápadu	N/A	Okresný súd Levice - Sudca nemal znížený nápad.	N/A
JUDr. Ayše Kovačev	0	0	rok 2011	Okresný súd Bratislava II 	N/A	N/A	2011 - Okresný súd Bratislava II 	neboli pridelené žiadne prípady.	0	0	0	0	nerozhodoval žiadne prípady.	0	0	0	0	0	0	Evidujeme menej ako 10 rozhodnutí o odvolaniach voči rozhodnutiam sudcu.	1	1	N/A	N/A	Pre hodnotenie efektivity disponujeme málo reprezentatívnymi dátami, a preto sudcu nehodnotíme.	N/A	N/A	N/A	Pre bodové hodnotenie sudcu nedisponujeme dostatočne reprezentatývnymi údajmi.	N/A	N/A	N/A	N/A	N/A	N/A
JUDr. Barbara Plaskurová	0	0	roky 2011 - 2013	Okresný súd Nové Mesto n/V	Okresný súd Nové Mesto n/V	Okresný súd Nové Mesto n/V	2011 - Okresný súd Nové Mesto n/V; 2012 - Okresný súd Nové Mesto n/V; 2013 - Okresný súd Nové Mesto n/V	bola prideľovaná najmä Občianskoprávna agenda.	782	0	0	0	rozhodoval najmä v Občianskoprávnej agende.	824	0	0	0	562	14,46619217	Rozhodnutie sudcu bolo v prípade odvolaní potvrené v 72 % prípadoch, pričom priemer v SR v rovnakej agende je 63 %.	50	36	Odvolanie voči rozhodnutiam sudcu bolo podávané približne v 6,1 % prípadoch, pričom priemer v SR je 8,8 %.	Z celkového počtu rozhodnutí bolo zmenených alebo zrušených 1,7 %, pričom priemer v SR je 3,3 %.	Podiel medzi nevybavenými vecami na konci roka 2013 a rozhodnutými vecami bol 1,36. Čím je číslo nižšie, tým je sudca schopnejší vybavovať prichádzajúce prípady. Priemer v SR bol 0,9.	Sudca mal na konci roka 2013 363 nevybavených vecí, pričom priemer v SR je 238.	Sudca mal na konci roka 2013 202 reštančných vecí, pričom priemer v SR je 126. To tvorí 51 % z nevybavených vecí. Priemer v SR v tomto ukazovateli je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 84,2 % prípadov. Priemer v SR bol 99,6 %.	Celkovo získal sudca podľa našej metodológie 18 bodov zo 45 možných. Medzi 739 hodnotenými sudcami okresných súdov sa umiestnil na 519. mieste. Za kvalitu rozhodovania získal 10,5 bodov z 15 a za efektivitu 7,5 z možných 25.	Okresný súd Nové Mesto n/V - výkon funkcie podpredsedníčky okresného súdu	N/A	Okresný súd Nové Mesto n/V - výkon funkcie podpredsedníčky okresného súdu	N/A	Okresný súd Nové Mesto n/V - výkon funkcie podpredsedníčky okresného súdu	N/A
JUDr. Barbora Štefanová	0	0	roky 2011 - 2013	Okresný súd Partizánske	Okresný súd Partizánske	Okresný súd Partizánske	2011 - Okresný súd Partizánske; 2012 - Okresný súd Partizánske; 2013 - Okresný súd Partizánske	nebola žiadna agenda prideľovaná dominantne.	416	122	466	29	rozhodoval najmä vo veciach Starostlivosti o maloletých.	372	82	487	20	603	20,92868988	Rozhodnutie sudcu bolo v prípade odvolaní potvrené v 82 % prípadoch, pričom priemer v SR v rovnakej agende je 65,5 %.	61	50	Odvolanie voči rozhodnutiam sudcu bolo podávané približne v 6,3 % prípadoch, pričom priemer v SR je 7,2 %.	Z celkového počtu rozhodnutí bolo zmenených alebo zrušených 1,1 %, pričom priemer v SR je 2,5 %.	Podiel medzi nevybavenými vecami na konci roka 2013 a rozhodnutými vecami bol 1,19. Čím je číslo nižšie, tým je sudca schopnejší vybavovať prichádzajúce prípady. Priemer v SR bol 0,9.	Sudca mal na konci roka 2013 365 nevybavených vecí, pričom priemer v SR je 238.	Sudca mal na konci roka 2013 203 reštančných vecí, pričom priemer v SR je 126. To tvorí 46,9 % z nevybavených vecí. Priemer v SR v tomto ukazovateli je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 57,2 % prípadov. Priemer v SR bol 99,6 %.	Celkovo získal sudca podľa našej metodológie 17,75 bodov zo 45 možných. Medzi 739 hodnotenými sudcami okresných súdov sa umiestnil na 535. mieste. Za kvalitu rozhodovania získal 11,25 bodov z 15 a za efektivitu 6,5 z možných 25.	Okresný súd Partizánske - Nápad nebol znížený	N/A	N/A	N/A	Okresný súd Partizánske - Dňom 22.10.2013 bol sudkyni pozastvený nápad vecí z dôvodu jej dlhodobej PN.	N/A
JUDr. Beata Bizoňová	2	0	roky 2011 - 2013	Okresný súd Bratislava I	Okresný súd Bratislava I	Okresný súd Bratislava I	2011 - Okresný súd Bratislava I; 2012 - Okresný súd Bratislava I; 2013 - Okresný súd Bratislava I	bola prideľovaná najmä Občianskoprávna agenda.	707	0	0	0	rozhodoval najmä v Občianskoprávnej agende.	771	0	0	0	634	11,81388013	Rozhodnutie sudcu bolo v prípade odvolaní potvrené v 75,7 % prípadoch, pričom priemer v SR v rovnakej agende je 63 %.	103	78	Odvolanie voči rozhodnutiam sudcu bolo podávané približne v 13,4 % prípadoch, pričom priemer v SR je 8,8 %.	Z celkového počtu rozhodnutí bolo zmenených alebo zrušených 3,2 %, pričom priemer v SR je 3,3 %.	Podiel medzi nevybavenými vecami na konci roka 2013 a rozhodnutými vecami bol 1,43. Čím je číslo nižšie, tým je sudca schopnejší vybavovať prichádzajúce prípady. Priemer v SR bol 0,9.	Sudca mal na konci roka 2013 351 nevybavených vecí, pričom priemer v SR je 238.	Sudca mal na konci roka 2013 267 reštančných vecí, pričom priemer v SR je 126. To tvorí 58,6 % z nevybavených vecí. Priemer v SR v tomto ukazovateli je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 86,6 % prípadov. Priemer v SR bol 99,6 %.	Celkovo získal sudca podľa našej metodológie 16,25 bodov zo 45 možných. Medzi 739 hodnotenými sudcami okresných súdov sa umiestnil na 594. mieste. Za kvalitu rozhodovania získal 9,75 bodov z 15 a za efektivitu 6,5 z možných 25.	N/A	N/A	N/A	N/A	N/A	N/A
JUDr. Beata Farkašová	1	0	roky 2011 - 2013	Okresný súd Bratislava III	Okresný súd Bratislava III	Okresný súd Bratislava III	2011 - Okresný súd Bratislava III; 2012 - Okresný súd Bratislava III; 2013 - Okresný súd Bratislava III	bola prideľovaná najmä Občianskoprávna agenda.	676	0	0	0	rozhodoval najmä v Občianskoprávnej agende.	642	0	0	0	738	10,16260163	Rozhodnutie sudcu bolo v prípade odvolaní potvrené v 65,2 % prípadoch, pričom priemer v SR v rovnakej agende je 63 %.	69	45	Odvolanie voči rozhodnutiam sudcu bolo podávané približne v 10,7 % prípadoch, pričom priemer v SR je 8,8 %.	Z celkového počtu rozhodnutí bolo zmenených alebo zrušených 3,7 %, pričom priemer v SR je 3,3 %.	Podiel medzi nevybavenými vecami na konci roka 2013 a rozhodnutými vecami bol 0,58. Čím je číslo nižšie, tým je sudca schopnejší vybavovať prichádzajúce prípady. Priemer v SR bol 0,9.	Sudca mal na konci roka 2013 182 nevybavených vecí, pričom priemer v SR je 238.	Sudca mal na konci roka 2013 147 reštančných vecí, pričom priemer v SR je 126. To tvorí 50 % z nevybavených vecí. Priemer v SR v tomto ukazovateli je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 91,8 % prípadov. Priemer v SR bol 99,6 %.	Celkovo získal sudca podľa našej metodológie 19,75 bodov zo 45 možných. Medzi 739 hodnotenými sudcami okresných súdov sa umiestnil na 437. mieste. Za kvalitu rozhodovania získal 7 bodov z 15 a za efektivitu 12,75 z možných 25.	N/A	N/A	N/A	N/A	N/A	N/A
JUDr. Beata Gešvantnerová	0	0	roky 2012 - 2013	N/A	Okresný súd Prievidza	Okresný súd Prievidza	2012 - Okresný súd Prievidza; 2013 - Okresný súd Prievidza	bola prideľovaná najmä Občianskoprávna agenda.	385	132	168	0	rozhodoval najmä v Občianskoprávnej agende.	335	71	144	0	434	17,21198157	Rozhodnutie sudcu bolo v prípade odvolaní potvrené v 62,1 % prípadoch, pričom priemer v SR v rovnakej agende je 63 %.	29	18	Odvolanie voči rozhodnutiam sudcu bolo podávané približne v 5,3 % prípadoch, pričom priemer v SR je 8,8 %.	Z celkového počtu rozhodnutí bolo zmenených alebo zrušených 2 %, pričom priemer v SR je 3,3 %.	Podiel medzi nevybavenými vecami na konci roka 2013 a rozhodnutými vecami bol 0,8. Čím je číslo nižšie, tým je sudca schopnejší vybavovať prichádzajúce prípady. Priemer v SR bol 0,9.	Sudca mal na konci roka 2013 372 nevybavených vecí, pričom priemer v SR je 238.	Sudca mal na konci roka 2013 185 reštančných vecí, pričom priemer v SR je 126. To tvorí 46 % z nevybavených vecí. Priemer v SR v tomto ukazovateli je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 115,9 % prípadov. Priemer v SR bol 99,6 %.	Celkovo získal sudca podľa našej metodológie 21,25 bodov zo 45 možných. Medzi 739 hodnotenými sudcami okresných súdov sa umiestnil na 356. mieste. Za kvalitu rozhodovania získal 8,75 bodov z 15 a za efektivitu 12,5 z možných 25.	N/A	N/A	N/A	N/A	N/A	N/A
JUDr. Beáta Gešvantnerová	0	0	roky 2011 - 2012	Okresný súd Zvolen	Okresný súd Zvolen	N/A	2011 - Okresný súd Zvolen; 2012 - Okresný súd Zvolen	bola prideľovaná najmä Trestná agenda.	0	0	0	316	rozhodoval najmä v Trestnej agende.	0	0	0	391	318	11,00628931	Rozhodnutie sudcu bolo v prípade odvolaní potvrené v 60,5 % prípadoch, pričom priemer v SR v rovnakej agende je 52,2 %.	43	26	Odvolanie voči rozhodnutiam sudcu bolo podávané približne v 11 % prípadoch, pričom priemer v SR je 8,5 %.	Z celkového počtu rozhodnutí bolo zmenených alebo zrušených 4,3 %, pričom priemer v SR je 4,1 %.	Pre hodnotenie efektivity disponujeme málo reprezentatívnymi dátami, a preto sudcu nehodnotíme.	N/A	N/A	N/A	Pre bodové hodnotenie sudcu nedisponujeme dostatočne reprezentatývnymi údajmi.	Okresný súd Zvolen - ---------------------------------	N/A	Okresný súd Zvolen - Sudkyňou Okresného súdu Zvolen v období do 30. 06. 2012	N/A	N/A	N/A
JUDr. Beáta Javorková	0	0	roky 2011 - 2013	Okresný súd Piešťany	Okresný súd Piešťany	Okresný súd Piešťany	2011 - Okresný súd Piešťany; 2012 - Okresný súd Piešťany; 2013 - Okresný súd Piešťany	bola prideľovaná najmä Trestná agenda.	0	0	0	604	rozhodoval najmä v Trestnej agende.	0	0	0	624	583	10,36020583	Rozhodnutie sudcu bolo v prípade odvolaní potvrené v 46,9 % prípadoch, pričom priemer v SR v rovnakej agende je 52,2 %.	143	67	Odvolanie voči rozhodnutiam sudcu bolo podávané približne v 22,9 % prípadoch, pričom priemer v SR je 8,5 %.	Z celkového počtu rozhodnutí bolo zmenených alebo zrušených 12,2 %, pričom priemer v SR je 4,1 %.	Podiel medzi nevybavenými vecami na konci roka 2013 a rozhodnutými vecami bol 0,59. Čím je číslo nižšie, tým je sudca schopnejší vybavovať prichádzajúce prípady. Priemer v SR bol 0,9.	Sudca mal na konci roka 2013 104 nevybavených vecí, pričom priemer v SR je 238.	Sudca mal na konci roka 2013 65 reštančných vecí, pričom priemer v SR je 126. To tvorí 52,8 % z nevybavených vecí. Priemer v SR v tomto ukazovateli je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 109,9 % prípadov. Priemer v SR bol 99,6 %.	Celkovo získal sudca podľa našej metodológie 19,75 bodov zo 45 možných. Medzi 739 hodnotenými sudcami okresných súdov sa umiestnil na 437. mieste. Za kvalitu rozhodovania získal 4 bodov z 15 a za efektivitu 15,75 z možných 25.	N/A	N/A	N/A	N/A	N/A	N/A
JUDr. Beáta Oreničová	0	0	roky 2011 - 2013	Okresný súd Košice II	Okresný súd Košice II	Okresný súd Košice II	2011 - Okresný súd Košice II; 2012 - Okresný súd Košice II; 2013 - Okresný súd Košice II	bola prideľovaná najmä agenda Starostlivosti o maloletých.	156	0	672	0	rozhodoval najmä vo veciach Starostlivosti o maloletých.	264	0	606	0	607	13,64085667	Rozhodnutie sudcu bolo v prípade odvolaní potvrené v 64,8 % prípadoch, pričom priemer v SR v rovnakej agende je 65,5 %.	91	59	Odvolanie voči rozhodnutiam sudcu bolo podávané približne v 10,5 % prípadoch, pričom priemer v SR je 7,2 %.	Z celkového počtu rozhodnutí bolo zmenených alebo zrušených 3,7 %, pričom priemer v SR je 2,5 %.	Podiel medzi nevybavenými vecami na konci roka 2013 a rozhodnutými vecami bol 0,54. Čím je číslo nižšie, tým je sudca schopnejší vybavovať prichádzajúce prípady. Priemer v SR bol 0,9.	Sudca mal na konci roka 2013 163 nevybavených vecí, pričom priemer v SR je 238.	Sudca mal na konci roka 2013 58 reštančných vecí, pričom priemer v SR je 126. To tvorí 30,5 % z nevybavených vecí. Priemer v SR v tomto ukazovateli je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 110,3 % prípadov. Priemer v SR bol 99,6 %.	Celkovo získal sudca podľa našej metodológie 23,75 bodov zo 45 možných. Medzi 739 hodnotenými sudcami okresných súdov sa umiestnil na 219. mieste. Za kvalitu rozhodovania získal 6,25 bodov z 15 a za efektivitu 17,5 z možných 25.	"Okresný súd Košice II - 
"	N/A	N/A	N/A	N/A	N/A
JUDr. Beáta Schmidtová	0	0	roky 2011 - 2013	Okresný súd Trenčín	Okresný súd Trenčín	Okresný súd Trenčín	2011 - Okresný súd Trenčín; 2012 - Okresný súd Trenčín; 2013 - Okresný súd Trenčín	bola prideľovaná najmä Trestná agenda.	0	0	0	553	rozhodoval najmä v Trestnej agende.	0	0	0	729	602	9,418604651	Rozhodnutie sudcu bolo v prípade odvolaní potvrené v 51 % prípadoch, pričom priemer v SR v rovnakej agende je 52,2 %.	51	26	Odvolanie voči rozhodnutiam sudcu bolo podávané približne v 7 % prípadoch, pričom priemer v SR je 8,5 %.	Z celkového počtu rozhodnutí bolo zmenených alebo zrušených 3,4 %, pričom priemer v SR je 4,1 %.	Podiel medzi nevybavenými vecami na konci roka 2013 a rozhodnutými vecami bol 0,33. Čím je číslo nižšie, tým je sudca schopnejší vybavovať prichádzajúce prípady. Priemer v SR bol 0,9.	Sudca mal na konci roka 2013 93 nevybavených vecí, pričom priemer v SR je 238.	Sudca mal na konci roka 2013 71 reštančných vecí, pričom priemer v SR je 126. To tvorí 54,2 % z nevybavených vecí. Priemer v SR v tomto ukazovateli je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 147,1 % prípadov. Priemer v SR bol 99,6 %.	Celkovo získal sudca podľa našej metodológie 26 bodov zo 45 možných. Medzi 739 hodnotenými sudcami okresných súdov sa umiestnil na 123. mieste. Za kvalitu rozhodovania získal 8 bodov z 15 a za efektivitu 18 z možných 25.	N/A	N/A	N/A	N/A	N/A	N/A
JUDr. Beáta Svediaková	7	5	roky 2011 - 2013	Okresný súd Žilina	Okresný súd Žilina	Okresný súd Žilina	2011 - Okresný súd Žilina; 2012 - Okresný súd Žilina; 2013 - Okresný súd Žilina	bola prideľovaná najmä Občianskoprávna agenda.	1042	0	0	0	rozhodoval najmä v Občianskoprávnej agende.	999	0	0	0	623	16,7576244	Rozhodnutie sudcu bolo v prípade odvolaní potvrené v 67,3 % prípadoch, pričom priemer v SR v rovnakej agende je 63 %.	107	72	Odvolanie voči rozhodnutiam sudcu bolo podávané približne v 10,7 % prípadoch, pričom priemer v SR je 8,8 %.	Z celkového počtu rozhodnutí bolo zmenených alebo zrušených 3,5 %, pričom priemer v SR je 3,3 %.	Podiel medzi nevybavenými vecami na konci roka 2013 a rozhodnutými vecami bol 1,08. Čím je číslo nižšie, tým je sudca schopnejší vybavovať prichádzajúce prípady. Priemer v SR bol 0,9.	Sudca mal na konci roka 2013 447 nevybavených vecí, pričom priemer v SR je 238.	Sudca mal na konci roka 2013 237 reštančných vecí, pričom priemer v SR je 126. To tvorí 49,4 % z nevybavených vecí. Priemer v SR v tomto ukazovateli je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 118 % prípadov. Priemer v SR bol 99,6 %.	Celkovo získal sudca podľa našej metodológie 17,5 bodov zo 45 možných. Medzi 739 hodnotenými sudcami okresných súdov sa umiestnil na 546. mieste. Za kvalitu rozhodovania získal 8,25 bodov z 15 a za efektivitu 9,25 z možných 25.	N/A	N/A	Okresný súd Žilina - nebol dôvod na zníženie nápadu	N/A	N/A	N/A
JUDr. Beáta Šuťaková	3	3	roky 2011 - 2013	Okresný súd Prešov	Okresný súd Prešov	Okresný súd Prešov	2011 - Okresný súd Prešov; 2012 - Okresný súd Prešov; 2013 - Okresný súd Prešov	bola prideľovaná najmä Trestná agenda.	0	0	0	355	rozhodoval najmä v Trestnej agende.	0	0	0	383	580	5,534482759	Rozhodnutie sudcu bolo v prípade odvolaní potvrené v 62,1 % prípadoch, pričom priemer v SR v rovnakej agende je 52,2 %.	29	18	Odvolanie voči rozhodnutiam sudcu bolo podávané približne v 7,6 % prípadoch, pričom priemer v SR je 8,5 %.	Z celkového počtu rozhodnutí bolo zmenených alebo zrušených 2,9 %, pričom priemer v SR je 4,1 %.	Pre hodnotenie efektivity disponujeme málo reprezentatívnymi dátami, a preto sudcu nehodnotíme.	N/A	N/A	N/A	Pre bodové hodnotenie sudcu nedisponujeme dostatočne reprezentatývnymi údajmi.	N/A	N/A	N/A	N/A	"Okresný súd Prešov - od 29.5.2013 do 11.9.2013 zastavený nápad z dôvodu PN
od 11.9.2013 Materská dovolenka"	N/A
JUDr. Bibiana Ťažiarová	1	0	roky 2011 - 2013	Okresný súd Trnava	Okresný súd Trnava	Okresný súd Trnava	2011 - Okresný súd Trnava; 2012 - Okresný súd Trnava; 2013 - Okresný súd Trnava	bola prideľovaná najmä Občianskoprávna agenda.	971	0	212	0	rozhodoval najmä v Občianskoprávnej agende.	821	8	195	0	606	18,16831683	Rozhodnutie sudcu bolo v prípade odvolaní potvrené v 71,2 % prípadoch, pričom priemer v SR v rovnakej agende je 63 %.	104	74	Odvolanie voči rozhodnutiam sudcu bolo podávané približne v 10,2 % prípadoch, pričom priemer v SR je 8,8 %.	Z celkového počtu rozhodnutí bolo zmenených alebo zrušených 2,9 %, pričom priemer v SR je 3,3 %.	Podiel medzi nevybavenými vecami na konci roka 2013 a rozhodnutými vecami bol 0,72. Čím je číslo nižšie, tým je sudca schopnejší vybavovať prichádzajúce prípady. Priemer v SR bol 0,9.	Sudca mal na konci roka 2013 371 nevybavených vecí, pričom priemer v SR je 238.	Sudca mal na konci roka 2013 82 reštančných vecí, pričom priemer v SR je 126. To tvorí 19,9 % z nevybavených vecí. Priemer v SR v tomto ukazovateli je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 87,1 % prípadov. Priemer v SR bol 99,6 %.	Celkovo získal sudca podľa našej metodológie 23,75 bodov zo 45 možných. Medzi 739 hodnotenými sudcami okresných súdov sa umiestnil na 219. mieste. Za kvalitu rozhodovania získal 9,25 bodov z 15 a za efektivitu 14,5 z možných 25.	N/A	N/A	N/A	N/A	N/A	N/A
