Meno	S1	S2	S3	S3_2011	S3_2012	S3_2013	S3a	S4	S4a	S4b	S4c	S4d	S5	S5a	S5b	S5c	S5d	S6	S7	S8	S8a	S8b	S9	S10	S11	S12	S13	S14	S15	S16a	S16b	S16c	S16d	S16e	S16f	S16g	S16h
JUDr. Helena Menichová	0	0	2011 - 2013	Okresný súd Martin	Okresný súd Martin	Okresný súd Martin	2011 - Okresný súd Martin; 2012 - Okresný súd Martin; 2013 - Okresný súd Martin	bola prideľovaná najmä Obchodná agenda	0	817	14	0	rozhodoval najmä v Obchodnej agende	0	817	14	0	622	114	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 71 % prípadoch, pričom priemer v SR v rovnakej agende je 63,7 %.	62	44	Odvolanie proti rozhodnutiam sudcu je podávané v približne 7,5 % prípadoch. Priemer v SR je v rovnakej agende 9,7 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 2,2 %, pričom priemer v SR v rovnakej agende je 3,4 %.	Odhadovaná priemerná dĺžka konania sporu je 158 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 115 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 52 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 34,7 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 109 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 27,25 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 84. - 92. mieste. Za kvalitu získal 9,5 z 15 možných bodov, za efektivitu 17,75 z 25.	2013 - 0	"2011 - 5 školení (31.3.2011 - Bratislava - exekučné konanie
18.5.2011 - Ban. Bystrica - zmluva o dielo
18.-19.10.2011 - Omšenie - celokrajové pracovné stretnutie
14.-15.12.2011 - Omšenie - obchodné spoločnosti a družstvá
november 2011 - KS ZA - Európsky súd pre ľudské práva); 2012 - 05.06.2012 - Efektívne využitie PC, internetu a práv. vyhľadávačov, 10.- 11.09.2012 - Konkurzné právo, cezhraničné konkurzy, reštrukturalizácia, 23.-24.10.2012 - Pracovné stretnutie civilných sudcov, 17.-18.12.2012 - Exekučné právo, aplikačné problémy exekučného konania; 2013 - 14.3.2013  Určovacie žaloby,  21.3.-22.3.2013 - Kúpna zmluva a zmluva o dielo v obchodných záväzkových vzťahoch tuzemských a medzinárodných,22.04.2013 Doručovaní a dokazovaní ve veceh s cizím prvkem,  17.-18.10.2013 Spoločné rokovanie obchodnoprávneho kolégia, 12.11.2013 Konferencia ""Ingerencia súdov"", 19.-21.11.2013 Príslušnosť súdu v sporoch
"		"2011 - 5 školení (31.3.2011 - Bratislava - exekučné konanie
18.5.2011 - Ban. Bystrica - zmluva o dielo
18.-19.10.2011 - Omšenie - celokrajové pracovné stretnutie
14.-15.12.2011 - Omšenie - obchodné spoločnosti a družstvá
november 2011 - KS ZA - Európsky súd pre ľudské práva)"		2012 - 05.06.2012 - Efektívne využitie PC, internetu a práv. vyhľadávačov, 10.- 11.09.2012 - Konkurzné právo, cezhraničné konkurzy, reštrukturalizácia, 23.-24.10.2012 - Pracovné stretnutie civilných sudcov, 17.-18.12.2012 - Exekučné právo, aplikačné problémy exekučného konania	2013 - 0	"2013 - 14.3.2013  Určovacie žaloby,  21.3.-22.3.2013 - Kúpna zmluva a zmluva o dielo v obchodných záväzkových vzťahoch tuzemských a medzinárodných,22.04.2013 Doručovaní a dokazovaní ve veceh s cizím prvkem,  17.-18.10.2013 Spoločné rokovanie obchodnoprávneho kolégia, 12.11.2013 Konferencia ""Ingerencia súdov"", 19.-21.11.2013 Príslušnosť súdu v sporoch
"
JUDr. Ida Takáčová	0	0	2011 - 2013	Okresný súd Bratislava IV	Okresný súd Bratislava IV	Okresný súd Bratislava IV	2011 - Okresný súd Bratislava IV; 2012 - Okresný súd Bratislava IV; 2013 - Okresný súd Bratislava IV	bola prideľovaná najmä Občiansko-právna agenda	530	0	0	0	rozhodoval najmä v Občiansko-právnej agende	530	0	0	0	599	95	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 65,2 % prípadoch, pričom priemer v SR v rovnakej agende je 62,9 %.	23	15	Odvolanie proti rozhodnutiam sudcu je podávané v približne 4,3 % prípadoch. Priemer v SR je v rovnakej agende 8,9 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 1,5 %, pričom priemer v SR v rovnakej agende je 3,3 %.	Odhadovaná priemerná dĺžka konania sporu je 438 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 282 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 104 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 35 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 95,9 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 21,25 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 355. - 369. mieste. Za kvalitu získal 8,75 z 15 možných bodov, za efektivitu 12,5 z 25.	2011 - z titulu výkonu funkcie podpredsedu súdu.; 2012 - z titulu výkonu funkcie podpredsedu súdu; 2013 - z titulu výkonu funkcie podpredsedu súdu	2012 - 0; 2013 - Seminár sudcov obvodu Krajského súdu v Bratislave  - 2 dni	2011 - z titulu výkonu funkcie podpredsedu súdu.		2012 - z titulu výkonu funkcie podpredsedu súdu	2012 - 0	2013 - z titulu výkonu funkcie podpredsedu súdu	2013 - Seminár sudcov obvodu Krajského súdu v Bratislave  - 2 dni
JUDr. Igor Malý	1	1	2011 - 2013	Okresný súd Trnava	Okresný súd Trnava	Okresný súd Trnava	2011 - Okresný súd Trnava; 2012 - Okresný súd Trnava; 2013 - Okresný súd Trnava	bola prideľovaná najmä Občiansko-právna agenda	866	10	206	0	rozhodoval najmä v Občiansko-právnej agende	866	10	206	0	653	171	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 65 % prípadoch, pričom priemer v SR v rovnakej agende je 62,9 %.	80	52	Odvolanie proti rozhodnutiam sudcu je podávané v približne 7,4 % prípadoch. Priemer v SR je v rovnakej agende 8,9 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 2,6 %, pričom priemer v SR v rovnakej agende je 3,3 %.	Odhadovaná priemerná dĺžka konania sporu je 235 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 360 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 108 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 25,1 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 92,7 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 23 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 253. - 268. mieste. Za kvalitu získal 8 z 15 možných bodov, za efektivitu 15 z 25.		"2011 - 25.-27.5. -3 dni - Celokrajové školenie sudcov obvodu KS v TT - poslucháč; 2012 - 23.-25.5.	3 dni	Celokrajové školenie sudcov z obvodu KS v TT	poslucháč; 2013 - 13.-14.5.2013 -2 dni -Spotrebiteľské úvery, neprijateľné zmluvné podmienky -poslucháč
5.-7.6.2013 - 3 dni - 	Celokrajové školenie sudcov z obvodu KS v TT -	poslucháč
"		2011 - 25.-27.5. -3 dni - Celokrajové školenie sudcov obvodu KS v TT - poslucháč		"2012 - 23.-25.5.	3 dni	Celokrajové školenie sudcov z obvodu KS v TT	poslucháč"		"2013 - 13.-14.5.2013 -2 dni -Spotrebiteľské úvery, neprijateľné zmluvné podmienky -poslucháč
5.-7.6.2013 - 3 dni - 	Celokrajové školenie sudcov z obvodu KS v TT -	poslucháč
"
JUDr. Igor Ragan	0	0	2011 - 2013	Okresný súd Michalovce	Okresný súd Michalovce	Okresný súd Michalovce	2011 - Okresný súd Michalovce; 2012 - Okresný súd Michalovce; 2013 - Okresný súd Michalovce	bola prideľovaná najmä Obchodná agenda	0	600	0	0	rozhodoval najmä v Obchodnej agende	0	600	0	0	661	89	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 65,9 % prípadoch, pričom priemer v SR v rovnakej agende je 63,7 %.	85	56	Odvolanie proti rozhodnutiam sudcu je podávané v približne 14,2 % prípadoch. Priemer v SR je v rovnakej agende 9,7 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 4,8 %, pričom priemer v SR v rovnakej agende je 3,4 %.	Odhadovaná priemerná dĺžka konania sporu je 185 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 88 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 49 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 37,7 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 101,2 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 23 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 253. - 268. mieste. Za kvalitu získal 6,25 z 15 možných bodov, za efektivitu 16,75 z 25.		"2011 - 8.3.2011 - aplikačné právo OSP, predbežné opatrenia, kontradiktórnosť civilného procesu - 1 pracovný deň
11.5.2011 - stretnutie KB - 1 pracovný deň
25. - 26.10.2011 - stretnutie KB - 2 pracovné dni; 2012 - 17.-18.4.2012 - 3. stretnutie kontaktných bodov súdnej siete pre občianske veci SR (Justičná akadémia SR)

26.-27.11.2012 - 4. stretnutie kontaktných bodov súdnej siete pre občianske veci SR (Justičná akadémia SR)

6.12.2012 - odborný seminár sudcov (Krajský súd v Košiciach)"		"2011 - 8.3.2011 - aplikačné právo OSP, predbežné opatrenia, kontradiktórnosť civilného procesu - 1 pracovný deň
11.5.2011 - stretnutie KB - 1 pracovný deň
25. - 26.10.2011 - stretnutie KB - 2 pracovné dni"		"2012 - 17.-18.4.2012 - 3. stretnutie kontaktných bodov súdnej siete pre občianske veci SR (Justičná akadémia SR)

26.-27.11.2012 - 4. stretnutie kontaktných bodov súdnej siete pre občianske veci SR (Justičná akadémia SR)

6.12.2012 - odborný seminár sudcov (Krajský súd v Košiciach)"		
JUDr. Igor Škultéty	0	0	2012 - 2013		Okresný súd Bratislava V	Okresný súd Bratislava V	2012 - Okresný súd Bratislava V; 2013 - Okresný súd Bratislava V	bola prideľovaná najmä Trestná agenda	0	0	0	334	rozhodoval najmä v Trestnej agende	0	0	0	334	372	92	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 44,4 % prípadoch, pričom priemer v SR v rovnakej agende je 52,3 %.	18	8	Odvolanie proti rozhodnutiam sudcu je podávané v približne 5,4 % prípadoch. Priemer v SR je v rovnakej agende 8,4 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 3 %, pričom priemer v SR v rovnakej agende je 4 %.	Odhadovaná priemerná dĺžka konania sporu je 243 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 96 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 96 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 100 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 99,3 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 19,25 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 473. - 480. mieste. Za kvalitu získal 7,25 z 15 možných bodov, za efektivitu 12 z 25.								
JUDr. Igor Valent	0	0	2011 - 2013	Okresný súd Žiar nad Hronom 	Okresný súd Žiar nad Hronom 	Okresný súd Žiar nad Hronom 	2011 - Okresný súd Žiar nad Hronom ; 2012 - Okresný súd Žiar nad Hronom ; 2013 - Okresný súd Žiar nad Hronom 	bola prideľovaná najmä Občiansko-právna agenda	651	94	324	22	rozhodoval najmä v Občiansko-právnej agende	651	94	324	22	650	181	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 54,1 % prípadoch, pričom priemer v SR v rovnakej agende je 62,9 %.	74	40	Odvolanie proti rozhodnutiam sudcu je podávané v približne 6,8 % prípadoch. Priemer v SR je v rovnakej agende 8,9 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 3,1 %, pričom priemer v SR v rovnakej agende je 3,3 %.	Odhadovaná priemerná dĺžka konania sporu je 175 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 213 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 133 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 49,1 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 114,4 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 20,75 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 385. - 401. mieste. Za kvalitu získal 6 z 15 možných bodov, za efektivitu 14,75 z 25.		"2011 - Uvedený sudca sa nezúčastnil žiadneho vzdelávacieho podujatia. ; 2012 - Seminár ""Striedavá osobná starostlivosť, psychologické aspekty"" - 1 deň (09. 11. 2012). Seminár ""Efektívne využitie počítača, internetu a právnických vyhľadávačov - 2. časť"" - 1 deň (29. 11. 2012).

; 2013 - Seminár ""Určovacie žaloby"" - 1 deň (14. 3. 2013). Seminár "" Dokazovanie, doručovanie v civilnom konaní"" - 1 deň (24. 9. 2013).  Seminár ""Rozvod (výška výživného, posudzovanie príjmov rodičov podnikateľov, nariadenie 4/2009 o vyživovacej povinnosti, BSM)"" - 1 deň (9. 10. 2013). "		2011 - Uvedený sudca sa nezúčastnil žiadneho vzdelávacieho podujatia. 		"2012 - Seminár ""Striedavá osobná starostlivosť, psychologické aspekty"" - 1 deň (09. 11. 2012). Seminár ""Efektívne využitie počítača, internetu a právnických vyhľadávačov - 2. časť"" - 1 deň (29. 11. 2012).

"		"2013 - Seminár ""Určovacie žaloby"" - 1 deň (14. 3. 2013). Seminár "" Dokazovanie, doručovanie v civilnom konaní"" - 1 deň (24. 9. 2013).  Seminár ""Rozvod (výška výživného, posudzovanie príjmov rodičov podnikateľov, nariadenie 4/2009 o vyživovacej povinnosti, BSM)"" - 1 deň (9. 10. 2013). "
JUDr. Ildikó Vekrbauerová	1	0	2011 - 2013	Okresný súd Košice I	Okresný súd Košice I	Okresný súd Košice I	2011 - Okresný súd Košice I; 2012 - Okresný súd Košice I; 2013 - Okresný súd Košice I	bola prideľovaná najmä Občiansko-právna agenda	379	0	0	0	rozhodoval najmä v Občiansko-právnej agende	379	0	0	0	611	32	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 66,7 % prípadoch, pričom priemer v SR v rovnakej agende je 62,9 %.	78	52	Odvolanie proti rozhodnutiam sudcu je podávané v približne 20,6 % prípadoch. Priemer v SR je v rovnakej agende 8,9 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 6,9 %, pričom priemer v SR v rovnakej agende je 3,3 %.	Odhadovaná priemerná dĺžka konania sporu je 642 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 232 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 136 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 49,5 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 71 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 13,5 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 659. - 662. mieste. Za kvalitu získal 6 z 15 možných bodov, za efektivitu 7,5 z 25.								
JUDr. Ingrid Daxner	0	0	2011 - 2013	Okresný súd Pezinok	Okresný súd Pezinok	Okresný súd Pezinok	2011 - Okresný súd Pezinok; 2012 - Okresný súd Pezinok; 2013 - Okresný súd Pezinok	bola prideľovaná najmä Občiansko-právna agenda	522	0	0	0	rozhodoval najmä v Občiansko-právnej agende	522	0	0	0	539	189	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 73,5 % prípadoch, pričom priemer v SR v rovnakej agende je 62,9 %.	136	100	Odvolanie proti rozhodnutiam sudcu je podávané v približne 26,1 % prípadoch. Priemer v SR je v rovnakej agende 8,9 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 6,9 %, pričom priemer v SR v rovnakej agende je 3,3 %.	Odhadovaná priemerná dĺžka konania sporu je 2410 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 832 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 549 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 62,8 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 36,6 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 8 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 726. - 728. mieste. Za kvalitu získal 7 z 15 možných bodov, za efektivitu 1 z 25.		2011 - Seminár - 2; 2012 - seminár - 18.04.2012;  seminár - 21.-22.06.2012; 2013 - seminá 13.-14.5.2013, 16.-17.5.2013, 13.6.2013		2011 - Seminár - 2		2012 - seminár - 18.04.2012;  seminár - 21.-22.06.2012		2013 - seminá 13.-14.5.2013, 16.-17.5.2013, 13.6.2013
JUDr. Ingrid Kalináková	0	0	2011 - 2013	Okresný súd Svidník	Okresný súd Prešov	Okresný súd Prešov	2011 - Okresný súd Svidník; 2012 - Okresný súd Prešov; 2013 - Okresný súd Prešov	bola prideľovaná najmä agenda Starostlivosti o maloletých	74	64	831	0	rozhodoval najmä v agende Starostlivosti o maloletých	74	64	831	0	589	178	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 69,4 % prípadoch, pričom priemer v SR v rovnakej agende je 65,5 %.	72	50	Odvolanie proti rozhodnutiam sudcu je podávané v približne 7,4 % prípadoch. Priemer v SR je v rovnakej agende 7,2 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 2,3 %, pričom priemer v SR v rovnakej agende je 2,5 %.	Odhadovaná priemerná dĺžka konania sporu je 151 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 179 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 131 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 56,5 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 98,2 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 22,5 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 286. - 298. mieste. Za kvalitu získal 8,5 z 15 možných bodov, za efektivitu 14 z 25.	"2012 - od 1.1.2012 do 31.3.2012 znížený nápad v agende Cb - rovnomernosť zaťaženia
zároveň sa vybavuje nápad v agende P"	2012 - 7; 2013 - 2			"2012 - od 1.1.2012 do 31.3.2012 znížený nápad v agende Cb - rovnomernosť zaťaženia
zároveň sa vybavuje nápad v agende P"	2012 - 7		2013 - 2
JUDr. Ingrid Šimonová	0	0	2011 - 2013	Okresný súd Piešťany	Okresný súd Piešťany	Okresný súd Piešťany	2011 - Okresný súd Piešťany; 2012 - Okresný súd Piešťany; 2013 - Okresný súd Piešťany	bola prideľovaná najmä Občiansko-právna agenda	283	0	0	0	rozhodoval najmä v Občiansko-právnej agende	283	0	0	0	571	135	Evidujeme menej ako 10 odvolaní o rozhodnutiach sudcu, preto dáta považujeme za nereprezentatívne.	3	3	N/A	N/A	Odhadovaná priemerná dĺžka konania sporu je 626 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 449 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 287 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 62,1 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 35,6 % prípadov. Priemer v SR bol 99,6 %.	Dáta o kvalite a efektivite sudcu nepovažujeme za dostatočné, preto sudcu bodovo nehodnotíme.	2011 - Zákon 757/2004 Z.z. o súdoch a o zmene a doplnení niektorých zákonov - §35 ods. 3; 2013 - výkon funkcie predsedníčky súdu do 19.02.2013	"2011 - 2.-3.2.2011 - ""Slobodný prístup k informáciám, aplikácia zákona č. 211/2000 Z.z.""; 2013 - 23.5.2013 - Justičná akadémia  Pezinok - ""Dedičské právo"" - 1 deň
5. - 7.6.2013 - Inštitút Omšenie - porada sudcov 3 dni
30.10.2013 - Justičná akadémia Pezinok - ""Rozvod (výška výživného...)"" 1 deň
"	2011 - Zákon 757/2004 Z.z. o súdoch a o zmene a doplnení niektorých zákonov - §35 ods. 3	"2011 - 2.-3.2.2011 - ""Slobodný prístup k informáciám, aplikácia zákona č. 211/2000 Z.z."""			2013 - výkon funkcie predsedníčky súdu do 19.02.2013	"2013 - 23.5.2013 - Justičná akadémia  Pezinok - ""Dedičské právo"" - 1 deň
5. - 7.6.2013 - Inštitút Omšenie - porada sudcov 3 dni
30.10.2013 - Justičná akadémia Pezinok - ""Rozvod (výška výživného...)"" 1 deň
"
JUDr. Ivan Alman	0	0	2011 - 2013	Okresný súd Bratislava IV	Okresný súd Bratislava IV	Okresný súd Bratislava IV	2011 - Okresný súd Bratislava IV; 2012 - Okresný súd Bratislava IV; 2013 - Okresný súd Bratislava IV	bola prideľovaná najmä Trestná agenda	0	0	0	874	rozhodoval najmä v Trestnej agende	0	0	0	874	651	106	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 65,9 % prípadoch, pričom priemer v SR v rovnakej agende je 52,3 %.	91	60	Odvolanie proti rozhodnutiam sudcu je podávané v približne 10,4 % prípadoch. Priemer v SR je v rovnakej agende 8,4 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 3,5 %, pričom priemer v SR v rovnakej agende je 4 %.	Odhadovaná priemerná dĺžka konania sporu je 37 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 29 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 38 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 48,1 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 122,1 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 27,75 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 73. - 81. mieste. Za kvalitu získal 9,25 z 15 možných bodov, za efektivitu 18,5 z 25.		2012 - 0; 2013 - 0				2012 - 0		2013 - 0
JUDr. Ivan Bartek	0	0	2011 - 2013	Okresný súd Bratislava III	Okresný súd Bratislava III	Okresný súd Bratislava III	2011 - Okresný súd Bratislava III; 2012 - Okresný súd Bratislava III; 2013 - Okresný súd Bratislava III	bola prideľovaná najmä Obchodná agenda	0	456	0	0	rozhodoval najmä v Obchodnej agende	0	456	0	0	644	68	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 65,8 % prípadoch, pričom priemer v SR v rovnakej agende je 63,7 %.	79	52	Odvolanie proti rozhodnutiam sudcu je podávané v približne 17,3 % prípadoch. Priemer v SR je v rovnakej agende 9,7 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 5,9 %, pričom priemer v SR v rovnakej agende je 3,4 %.	Odhadovaná priemerná dĺžka konania sporu je 320 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 128 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 81 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 43,8 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 70,5 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 18 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 519. - 534. mieste. Za kvalitu získal 5,5 z 15 možných bodov, za efektivitu 12,5 z 25.		"2011 - Premlčanie a preklúzia - 1 deň; 2012 - 12.-13.4.2012 - Prehľad akt. judikatúry v obchodnom práve
21.11.2012 - Technika pojednávania, konanie na súde
; 2013 - 4.3.-5.3.2013-Prehľad akt. judikatúry"		2011 - Premlčanie a preklúzia - 1 deň		"2012 - 12.-13.4.2012 - Prehľad akt. judikatúry v obchodnom práve
21.11.2012 - Technika pojednávania, konanie na súde
"		2013 - 4.3.-5.3.2013-Prehľad akt. judikatúry
JUDr. Ivan Ďalak	1	1	2011 - 2013	Okresný súd Rimavská Sobota	Okresný súd Rimavská Sobota	Okresný súd Rimavská Sobota	2011 - Okresný súd Rimavská Sobota; 2012 - Okresný súd Rimavská Sobota; 2013 - Okresný súd Rimavská Sobota	bola prideľovaná najmä Občiansko-právna agenda	700	0	141	0	rozhodoval najmä v Občiansko-právnej agende	700	0	141	0	652	187	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 64 % prípadoch, pričom priemer v SR v rovnakej agende je 62,9 %.	25	16	Odvolanie proti rozhodnutiam sudcu je podávané v približne 3 % prípadoch. Priemer v SR je v rovnakej agende 8,9 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 1,1 %, pričom priemer v SR v rovnakej agende je 3,3 %.	Odhadovaná priemerná dĺžka konania sporu je 513 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 519 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 244 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 44,9 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 70,2 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 15,75 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 607. - 613. mieste. Za kvalitu získal 9,5 z 15 možných bodov, za efektivitu 6,25 z 25.		"2011 - 2 dni - pracovné stretnutie sudcov občianskoprávneho kolégia v pôsobnosti Krajského súdu v Banskej Bystrici - zjednotenie postupu a stanovísk sudcov jednotlivých súdov, 2 dni - seminár Premlčanie a preklúzia v občianskom práve; 2012 - vzdelávacie podujatie ""Ochrana osobnosti, tlačový zákona judikatúra ESĽP"" - 2dni, vzdelávacie podujatie ""Technika pojednávania, konanie na súde, kontradiktórnosť civilného procesu (BB, ZA)"" - 1 deň; 2013 - pracovné stretnutie sudcov obvodu Krajského súdu v Banskej Bystrici v Omšení - 2 dni,
seminár ""Dokazovanie, doručovanie v civilnom konaní"" - Úrad priemyselného vlastníctva SR v Banskej Bystrici - 1 deň ako poslucháč"		2011 - 2 dni - pracovné stretnutie sudcov občianskoprávneho kolégia v pôsobnosti Krajského súdu v Banskej Bystrici - zjednotenie postupu a stanovísk sudcov jednotlivých súdov, 2 dni - seminár Premlčanie a preklúzia v občianskom práve		"2012 - vzdelávacie podujatie ""Ochrana osobnosti, tlačový zákona judikatúra ESĽP"" - 2dni, vzdelávacie podujatie ""Technika pojednávania, konanie na súde, kontradiktórnosť civilného procesu (BB, ZA)"" - 1 deň"		"2013 - pracovné stretnutie sudcov obvodu Krajského súdu v Banskej Bystrici v Omšení - 2 dni,
seminár ""Dokazovanie, doručovanie v civilnom konaní"" - Úrad priemyselného vlastníctva SR v Banskej Bystrici - 1 deň ako poslucháč"
